storeNo,name,storeNoName,latitude,longitude,county,physicalStore,municipality,countryRegion,postalCity,postalCode
418,EP STRUSSHAMN,418 EP STRUSSHAMN,60.40662,5.19456,Vestland,true,ASKØY,Vestlandet,STRUSSHAMN,5302
469,EP BODØ,469 EP BODØ,67.27698,14.4238,Nordland,true,BODØ,Nord-Norge,BODØ,8008
472,EP GRORUD,472 EP GRORUD,59.95948,10.88261,Oslo,true,OSLO,Østlandet,OSLO,0963
475,EP ÅGOTNES,475 EP ÅGOTNES,60.40344,5.00186,Vestland,true,ØYGARDEN,Vestlandet,ÅGOTNES,5363
476,EP STRANDA,476 EP STRANDA,62.30763,6.94808,Møre og Romsdal,true,STRANDA,Vestlandet,STRANDA,6200
477,EP JEVNAKER,477 EP JEVNAKER,60.22947,10.35494,Akershus,true,JEVNAKER,Østlandet,JEVNAKER,3520
473,EP ANDENES,473 EP ANDENES,69.31011,16.09885,Nordland,true,ANDØY,Nord-Norge,ANDENES,8480
425,EP RÅDE,425 EP RÅDE,59.35817,10.83582,Østfold,true,RÅDE,Østlandet,RÅDE,1640
404,EP GEILO,404 EP GEILO,60.53359,8.20665,Buskerud,true,HOL,Østlandet,GEILO,3580
481,EP STRØMMEN,481 EP STRØMMEN,59.94788,11.00712,Akershus,true,LILLESTRØM,Østlandet,STRØMMEN,2010
478,EP STOVNER,478 EP STOVNER,59.96143,10.92658,Oslo,true,OSLO,Østlandet,OSLO,0985
065,EP KRISTIANSUND - utgått,065 EP KRISTIANSUND - utgått,"","","",true,"","","",""
482,EP VORMSUND,482 EP VORMSUND,60.15059,11.40877,Akershus,true,NES,Østlandet,VORMSUND,2160
483,EP LAKSEVÅG,483 EP LAKSEVÅG,60.38951,5.28701,Vestland,true,BERGEN,Vestlandet,LAKSEVÅG,5163
480,EP RÆLINGEN,480 EP RÆLINGEN,59.94667,11.03122,Akershus,true,RÆLINGEN,Østlandet,RÆLINGEN,2005
432,EP GRASMYR,432 EP GRASMYR,59.03036,9.70408,Telemark,true,BAMBLE,Østlandet,STATHELLE,3960
479,EP GRAN,479 EP GRAN,60.35392,10.57601,Innlandet,true,GRAN,Østlandet,GRAN,2750
495,EP BREKSTAD,495 EP BREKSTAD,63.69235,9.66151,Trøndelag,true,ØRLAND,Trøndelag,BREKSTAD,7130
496,EP TASTA,496 EP TASTA,58.984,5.69108,Rogaland,true,STAVANGER,Vestlandet,STAVANGER,4027
500,EP KOKSTAD,500 EP KOKSTAD,60.29431,5.25325,Vestland,true,BERGEN,Vestlandet,KOKSTAD,5257
509,EP LANGEVÅG,509 EP LANGEVÅG,62.4381,6.23387,Møre og Romsdal,true,SULA,Vestlandet,LANGEVÅG,6030
508,EP DALE,508 EP DALE,61.36311,5.39812,Vestland,true,FJALER,Vestlandet,DALE I SUNNFJORD,6963
617,EP STJØRDAL,617 EP STJØRDAL,63.46775,10.92909,Trøndelag,true,STJØRDAL,Trøndelag,STJØRDAL,7503
493,EP ÅRDAL,493 EP ÅRDAL,61.31012,7.81507,Vestland,true,ÅRDAL,Vestlandet,ØVRE ÅRDAL,6884
578,EP REKNES,578 EP REKNES,62.73401,7.13944,Møre og Romsdal,true,MOLDE,Vestlandet,MOLDE,6415
571,EP RISØR,571 EP RISØR,58.71516,9.17672,Agder,true,RISØR,Sørlandet,RISØR,4950
494,EP GRONG,494 EP GRONG,64.46327,12.30489,Trøndelag,true,GRONG,Trøndelag,GRONG,7870
581,EP LILLEHAMMER NORD,581 EP LILLEHAMMER NORD,61.12904,10.44675,Innlandet,true,LILLEHAMMER,Østlandet,LILLEHAMMER,2619
492,EP ØRNES,492 EP ØRNES,66.85659,13.72455,Nordland,true,MELØY,Nord-Norge,ØRNES,8150
580,EP DIGERNES,580 EP DIGERNES,62.49156,6.60853,Møre og Romsdal,true,ÅLESUND,Vestlandet,SKODJE,6260
800,EP E-HANDEL,800 EP E-HANDEL,59.41536,10.67615,Østfold,true,MOSS,Østlandet,MOSS,1599
585,EP ØKSNEVAD,585 EP ØKSNEVAD,58.7855,5.70552,Rogaland,true,KLEPP,Vestlandet,KLEPP STASJON,4353
584,EP RYKKINN,584 EP RYKKINN,59.92403,10.48526,Akershus,true,BÆRUM,Østlandet,RYKKINN,1348
373,EP FAUSKE,373 EP FAUSKE,67.27133,15.39585,Nordland,true,FAUSKE,Nord-Norge,FAUSKE,8208
583,EP STOKKE,583 EP STOKKE,59.22141,10.30154,Vestfold,true,SANDEFJORD,Østlandet,STOKKE,3160
572,EP KJØRBEKK,572 EP KJØRBEKK,59.18374,9.60583,Telemark,true,SKIEN,Østlandet,SKIEN,3735
591,EP LURA,591 EP LURA,58.87353,5.72474,Rogaland,true,SANDNES,Vestlandet,SANDNES,4313
593,EP NANNESTAD,593 EP NANNESTAD,60.2204,11.01514,Akershus,true,NANNESTAD,Østlandet,NANNESTAD,2030
497,EP RJUKAN,497 EP RJUKAN,59.87709,8.58783,Telemark,true,TINN,Østlandet,RJUKAN,3660
604,EP GUNERIUS CITY,604 EP GUNERIUS CITY,59.91416,10.75291,Oslo,true,OSLO,Østlandet,OSLO,0184
596,EP VESTNES,596 EP VESTNES,62.6214,7.09363,Møre og Romsdal,true,VESTNES,Vestlandet,VESTNES,6390
597,EP FOSNAVÅG,597 EP FOSNAVÅG,62.32411,5.63875,Møre og Romsdal,true,HERØY (MØRE OG ROMSDAL),Vestlandet,FOSNAVÅG,6092
600,EP MERÅKER,600 EP MERÅKER,63.41685,11.73905,Trøndelag,true,MERÅKER,Trøndelag,MERÅKER,7530
602,EP ETNE,602 EP ETNE,59.66371,5.93238,Vestland,true,ETNE,Vestlandet,ETNE,5590
487,EP LYNGDAL,487 EP LYNGDAL,58.1379,7.07044,Agder,true,LYNGDAL,Sørlandet,LYNGDAL,4580
290,EP LANGNES,290 EP LANGNES,69.67542,18.92858,Troms,true,TROMSØ,Nord-Norge,TROMSØ,9015
607,EP TAU,607 EP TAU,59.06513,5.92179,Rogaland,true,STRAND,Vestlandet,TAU,4120
810,E-HANDEL POSTNORD,810 E-HANDEL POSTNORD,"","",Oslo,false,OSLO,Østlandet,OSLO,0668
611,EP LINDÅS,611 EP LINDÅS,60.73937,5.16066,Vestland,true,ALVER,Vestlandet,LINDÅS,5955
615,EP LØREN CITY,615 EP LØREN CITY,59.93141,10.79069,Oslo,true,OSLO,Østlandet,OSLO,0585
811,E-HANDEL HELTHJEM,811 E-HANDEL HELTHJEM,"","",Oslo,false,OSLO,Østlandet,OSLO,0180
444,EP KONGSBERG,444 EP KONGSBERG,"","",Buskerud,true,KONGSBERG,Østlandet,SKOLLENBORG,3619
612,EP AUSTEVOLL,612 EP AUSTEVOLL,60.09847,5.22488,Vestland,true,AUSTEVOLL,Vestlandet,STOREBØ,5392
618,EP XHIBITION CITY,618 EP XHIBITION CITY,60.39298,5.32626,Vestland,true,BERGEN,Vestlandet,BERGEN,5014
619,EP JÅTTÅ,619 EP JÅTTÅ,58.91426,5.71905,Rogaland,true,STAVANGER,Vestlandet,STAVANGER,4020
616,EP SELBU,616 EP SELBU,63.22211,11.03491,Trøndelag,true,SELBU,Trøndelag,SELBU,7580
448,EP SOLHEIMSVIKEN - utgått,448 EP SOLHEIMSVIKEN - utgått,60.3759,5.33839,Vestland,true,BERGEN,Vestlandet,BERGEN,5054
621,EP FRØYA,621 EP FRØYA,63.7045,8.8189,Trøndelag,true,FRØYA,Trøndelag,HAMARVIK,7263
626,EP LAGUNEN,626 EP LAGUNEN,60.29555,5.32952,Vestland,true,BERGEN,Vestlandet,RÅDAL,5239
623,EP FJELLHAMAR,623 EP FJELLHAMAR,59.94107,10.97964,Akershus,true,LØRENSKOG,Østlandet,FJELLHAMAR,1463
622,EP SETERMOEN,622 EP SETERMOEN,68.87701,18.35714,Troms,true,BARDU,Nord-Norge,BARDU,9360
624,EP ENSJØ,624 EP ENSJØ,59.91456,10.78817,Oslo,true,OSLO,Østlandet,OSLO,0661
625,EP NITTEDAL,625 EP NITTEDAL,60.05084,10.8839,Akershus,true,NITTEDAL,Østlandet,NITTEDAL,1482
628,EP FROLAND,628 EP FROLAND,58.49697,8.645,Agder,true,FROLAND,Sørlandet,FROLAND,4820
629,EP GRENSEN CITY,629 EP GRENSEN CITY,59.91394,10.74319,Oslo,true,OSLO,Østlandet,OSLO,0159
998,EP 998 52POS,998 EP 998 52POS,"","","",true,"","","",""
630,EP DOMBÅS,630 EP DOMBÅS,62.07429,9.12724,Innlandet,true,DOVRE,Østlandet,DOMBÅS,2660
431,EP MIDTUN,431 EP MIDTUN,60.32143,5.36485,Vestland,true,BERGEN,Vestlandet,NESTTUN,5224
631,EP HAMAR,631 EP HAMAR,60.79949,11.11649,Innlandet,true,HAMAR,Østlandet,HAMAR,2321
633,EP TRIADEN,633 EP TRIADEN,59.91861,10.95353,Akershus,true,LØRENSKOG,Østlandet,LØRENSKOG,1461
634,EP CC DRAMMEN,634 EP CC DRAMMEN,59.74123,10.22278,Buskerud,true,DRAMMEN,Østlandet,DRAMMEN,3012
635,EP ROGNAN,635 EP ROGNAN,67.10153,15.41147,Nordland,true,SALTDAL,Nord-Norge,ROGNAN,8250
641,EP GULSKOGEN,641 EP GULSKOGEN,59.74253,10.15797,Buskerud,true,DRAMMEN,Østlandet,DRAMMEN,3048
637,EP ASKER,637 EP ASKER,"","",Akershus,true,ASKER,Østlandet,ASKER,1386
639,EP GRIM,639 EP GRIM,58.14833,7.97886,Agder,true,KRISTIANSAND,Sørlandet,KRISTIANSAND S,4616
638,EP FRITZØE BRYGGE,638 EP FRITZØE BRYGGE,"","",Vestfold,true,LARVIK,Østlandet,LARVIK,3264
644,EP BEKKESTUA,644 EP BEKKESTUA,"","",Akershus,true,BÆRUM,Østlandet,BEKKESTUA,1357
646,EP HOLMLIA CITY,646 EP HOLMLIA CITY,"","",Oslo,true,OSLO,Østlandet,OSLO,1255
075,EP HAMAR - utgått,075 EP HAMAR - utgått,"","",Innlandet,true,HAMAR,Østlandet,HAMAR,2317
076,EP KRAGERØ,076 EP KRAGERØ,58.87311,9.36891,Telemark,true,KRAGERØ,Østlandet,KRAGERØ,3772
077,EP NOTODDEN,077 EP NOTODDEN,59.5661,9.21626,Telemark,true,NOTODDEN,Østlandet,NOTODDEN,3676
079,EP SANDNESSJØEN,079 EP SANDNESSJØEN,66.01729,12.64243,Nordland,true,ALSTAHAUG,Nord-Norge,SANDNESSJØEN,8800
416,EP STAKKEVOLL,416 EP STAKKEVOLL,69.66598,18.9708,Troms,true,TROMSØ,Nord-Norge,TROMSØ,9010
083,EP MOSS - utgått,083 EP MOSS - utgått,"","",Østfold,true,MOSS,Østlandet,MOSS,1521
579,EP FØRDE,579 EP FØRDE,61.45671,5.84409,Vestland,true,SUNNFJORD,Vestlandet,FØRDE,6800
605,EP SORTLAND,605 EP SORTLAND,68.7199,15.40116,Nordland,true,SORTLAND,Nord-Norge,SORTLAND,8400
089,EP KNARVIK,089 EP KNARVIK,60.5481,5.28661,Vestland,true,ALVER,Vestlandet,ISDALSTØ,5914
375,EP NAMSOS,375 EP NAMSOS,64.47467,11.50992,Trøndelag,true,NAMSOS,Trøndelag,NAMSOS,7800
439,EP BØ,439 EP BØ,59.41535,9.05834,Telemark,true,MIDT-TELEMARK,Østlandet,BØ I TELEMARK,3802
429,EP FYLLINGSDALEN,429 EP FYLLINGSDALEN,60.3509,5.27783,Vestland,true,BERGEN,Vestlandet,FYLLINGSDALEN,5147
440,EP SANDEFJORD,440 EP SANDEFJORD,59.13971,10.23865,Vestfold,true,SANDEFJORD,Østlandet,SANDEFJORD,3229
441,EP NANSET,441 EP NANSET,59.08085,10.0626,Vestfold,true,LARVIK,Østlandet,LARVIK,3255
388,EP ASKIM,388 EP ASKIM,59.58522,11.16639,Østfold,true,INDRE ØSTFOLD,Østlandet,ASKIM,1830
337,EP NORÅS FANA - utgått,337 EP NORÅS FANA - utgått,60.3087,5.32568,Vestland,true,BERGEN,Vestlandet,RÅDAL,5235
113,EP TILLER - utgått,113 EP TILLER - utgått,"","",Trøndelag,true,TRONDHEIM,Trøndelag,TILLER,7075
116,EP STEINKJER - utgått,116 EP STEINKJER - utgått,"","",Trøndelag,true,STEINKJER,Trøndelag,STEINKJER,7729
020,EP LEKNES,020 EP LEKNES,68.14733,13.60656,Nordland,true,VESTVÅGØY,Nord-Norge,LEKNES,8370
117,EP EIKER,117 EP EIKER,59.76127,9.90383,Buskerud,true,ØVRE EIKER,Østlandet,HOKKSUND,3300
598,EP STORD,598 EP STORD,59.76431,5.46072,Vestland,true,STORD,Vestlandet,STORD,5416
442,EP PORSGRUNN,442 EP PORSGRUNN,59.14058,9.63716,Telemark,true,PORSGRUNN,Østlandet,PORSGRUNN,3920
498,EP ØRSTA,498 EP ØRSTA,62.2025,6.11815,Møre og Romsdal,true,ØRSTA,Vestlandet,ØRSTA,6150
339,EP EIDSVÅG,339 EP EIDSVÅG,62.77611,8.0628,Møre og Romsdal,true,MOLDE,Vestlandet,EIDSVÅG I ROMSDAL,6460
345,EP BRYNE,345 EP BRYNE,58.735,5.65268,Rogaland,true,TIME,Vestlandet,BRYNE,4340
435,EP MOSJØEN,435 EP MOSJØEN,65.84149,13.19153,Nordland,true,VEFSN,Nord-Norge,MOSJØEN,8663
135,EP ODDA,135 EP ODDA,60.06968,6.55186,Vestland,true,ULLENSVANG,Vestlandet,ODDA,5750
449,EP SARTOR STORSENTER,449 EP SARTOR STORSENTER,60.3585,5.12407,Vestland,true,ØYGARDEN,Vestlandet,STRAUME,5353
620,EP LENA,620 EP LENA,60.67529,10.81152,Innlandet,true,ØSTRE TOTEN,Østlandet,LENA,2850
372,EP BODØ - utgått,372 EP BODØ - utgått,67.27818,14.41907,Nordland,true,BODØ,Nord-Norge,BODØ,8008
395,EP HORTEN,395 EP HORTEN,59.40765,10.4845,Vestfold,true,HORTEN,Østlandet,HORTEN,3187
438,EP LIERTOPPEN,438 EP LIERTOPPEN,59.81129,10.30585,Buskerud,true,LIER,Østlandet,LIERSKOGEN,3421
412,EP SOGNDAL,412 EP SOGNDAL,61.19165,7.22033,Vestland,true,SOGNDAL,Vestlandet,KAUPANGER,6854
589,EP HARSTAD,589 EP HARSTAD,68.79191,16.54183,Troms,true,HARSTAD,Nord-Norge,HARSTAD,9406
163,EP VERDAL - utgått,163 EP VERDAL - utgått,"","",Trøndelag,true,VERDAL,Trøndelag,VERDAL,7650
443,EP LANGRØNNINGEN,443 EP LANGRØNNINGEN,58.97256,9.52422,Telemark,true,BAMBLE,Østlandet,STATHELLE,3967
430,EP FINNSNES,430 EP FINNSNES,69.2294,17.98739,Troms,true,SENJA,Nord-Norge,FINNSNES,9300
397,EP OPPDAL,397 EP OPPDAL,62.59396,9.69372,Trøndelag,true,OPPDAL,Trøndelag,OPPDAL,7340
171,EP AVALDNES - utgått,171 EP AVALDNES - utgått,"","",Rogaland,true,KARMØY,Vestlandet,AVALDSNES,4262
178,EP VENNESLA - utgått,178 EP VENNESLA - utgått,"","",Agder,true,VENNESLA,Sørlandet,VENNESLA,4700
499,EP ULSTEINVIK,499 EP ULSTEINVIK,62.33976,5.85497,Møre og Romsdal,true,ULSTEIN,Vestlandet,ULSTEINVIK,6065
613,EP VÅGSBYGD,613 EP VÅGSBYGD,58.12493,7.96338,Agder,true,KRISTIANSAND,Sørlandet,KRISTIANSAND S,4621
010,010 Testbutikk,010 010 Testbutikk,"","",Østfold,false,FREDRIKSTAD,Østlandet,FREDRIKSTAD,1601
642,EP JØRPELAND/STRAND,642 EP JØRPELAND/STRAND,59.02063,6.03994,Rogaland,true,STRAND,Vestlandet,JØRPELAND,4100
470,EP BØMLO,470 EP BØMLO,59.79601,5.18529,Vestland,true,BØMLO,Vestlandet,BREMNES,5430
209,EP FREDRIKSTAD,209 EP FREDRIKSTAD,59.24484,10.98454,Østfold,true,FREDRIKSTAD,Østlandet,ROLVSØY,1661
636,EP OTTA,636 EP OTTA,61.77119,9.54336,Innlandet,true,SEL,Østlandet,OTTA,2670
384,EP NÆRBØ,384 EP NÆRBØ,58.66486,5.63669,Rogaland,true,HÅ,Vestlandet,NÆRBØ,4365
419,EP SVOLVÆR,419 EP SVOLVÆR,68.23618,14.56416,Nordland,true,VÅGAN,Nord-Norge,SVOLVÆR,8300
213,EP LIAMYRANE - utgått,213 EP LIAMYRANE - utgått,"","",Vestland,true,BERGEN,Vestlandet,NYBORG,5132
413,EP MYSEN,413 EP MYSEN,59.55181,11.34179,Østfold,true,INDRE ØSTFOLD,Østlandet,MYSEN,1850
610,EP SØRKJOSEN,610 EP SØRKJOSEN,69.78637,20.95096,Troms,true,NORDREISA,Nord-Norge,SØRKJOSEN,9152
216,EP RANDABERG,216 EP RANDABERG,58.99532,5.63761,Rogaland,true,RANDABERG,Vestlandet,RANDABERG,4070
218,EP SØRLANDSPARKEN - utgått,218 EP SØRLANDSPARKEN - utgått,"","",Agder,true,KRISTIANSAND,Sørlandet,KRISTIANSAND S,4636
436,EP LILLESAND,436 EP LILLESAND,58.26122,8.39377,Agder,true,LILLESAND,Sørlandet,LILLESAND,4790
595,EP HERKULES,595 EP HERKULES,59.1951,9.59715,Telemark,true,SKIEN,Østlandet,SKIEN,3730
221,EP STØPERIGATEN STAVANGER,221 EP STØPERIGATEN STAVANGER,58.97004,5.75388,Rogaland,true,STAVANGER,Vestlandet,STAVANGER,4014
222,EP KRISTIANSAND - utgått,222 EP KRISTIANSAND - utgått,58.15754,8.02848,Agder,true,KRISTIANSAND,Sørlandet,KRISTIANSAND S,4632
223,EP SANDNES,223 EP SANDNES,58.84829,5.73966,Rogaland,true,SANDNES,Vestlandet,SANDNES,4306
224,EP LIERSTRANDA,224 EP LIERSTRANDA,59.74989,10.24926,Buskerud,true,LIER,Østlandet,LIERSTRANDA,3414
225,EP ÅSSIDEN PLUSS,225 EP ÅSSIDEN PLUSS,59.75335,10.13038,Buskerud,true,DRAMMEN,Østlandet,DRAMMEN,3027
226,EP VIKERSUND,226 EP VIKERSUND,59.96525,9.99348,Buskerud,true,MODUM,Østlandet,VIKERSUND,3370
227,EP VESTBY,227 EP VESTBY,59.60766,10.74308,Akershus,true,VESTBY,Østlandet,VESTBY,1540
228,EP LILLEHAMMER STRANDPARKEN,228 EP LILLEHAMMER STRANDPARKEN,61.11459,10.45268,Innlandet,true,LILLEHAMMER,Østlandet,LILLEHAMMER,2609
229,EP BRUMUNDDAL,229 EP BRUMUNDDAL,60.88548,10.94124,Innlandet,true,RINGSAKER,Østlandet,BRUMUNDDAL,2380
645,EP MANDAL,645 EP MANDAL,58.02436,7.46635,Agder,true,LINDESNES,Sørlandet,MANDAL,4515
230,EP FLISA,230 EP FLISA,60.61307,12.00806,Innlandet,true,ÅSNES,Østlandet,FLISA,2270
231,EP ÅRNES,231 EP ÅRNES,60.11865,11.46198,Akershus,true,NES,Østlandet,ÅRNES,2151
233,EP RAGLAMYR PLUSS,233 EP RAGLAMYR PLUSS,59.3974,5.33471,Rogaland,true,HAUGESUND,Vestlandet,HAUGESUND,5536
234,EP KROKSTAD - utgått,234 EP KROKSTAD - utgått,"","",Buskerud,true,DRAMMEN,Østlandet,KROKSTADELVA,3055
236,EP VOLLEBEKK,236 EP VOLLEBEKK,59.93647,10.82697,Oslo,true,OSLO,Østlandet,OSLO,0598
237,EP PRINSDAL,237 EP PRINSDAL,59.83328,10.80876,Akershus,true,NORDRE FOLLO,Østlandet,KOLBOTN,1410
238,EP BRYN,238 EP BRYN,59.91206,10.82484,Oslo,true,OSLO,Østlandet,OSLO,0666
239,EP HALDEN,239 EP HALDEN,59.1216,11.3834,Østfold,true,HALDEN,Østlandet,HALDEN,1771
240,EP STRØMMEN - utgått,240 EP STRØMMEN - utgått,59.94569,11.0067,Akershus,true,LILLESTRØM,Østlandet,STRØMMEN,2010
242,EP MOELV,242 EP MOELV,60.92999,10.7008,Innlandet,true,RINGSAKER,Østlandet,MOELV,2390
434,EP MO I RANA,434 EP MO I RANA,66.30412,14.13258,Nordland,true,RANA,Nord-Norge,MO I RANA,8624
243,EP KONGSVINGER,243 EP KONGSVINGER,60.19289,12.00053,Innlandet,true,KONGSVINGER,Østlandet,KONGSVINGER,2212
244,EP HØNEFOSS,244 EP HØNEFOSS,60.1459,10.25245,Buskerud,true,RINGERIKE,Østlandet,HØNEFOSS,3511
245,EP RAKKESTAD,245 EP RAKKESTAD,59.42608,11.34239,Østfold,true,RAKKESTAD,Østlandet,RAKKESTAD,1890
246,EP EIDSVOLL,246 EP EIDSVOLL,60.33131,11.26554,Akershus,true,EIDSVOLL,Østlandet,EIDSVOLL,2080
247,EP STANGE,247 EP STANGE,60.72157,11.19727,Innlandet,true,STANGE,Østlandet,STANGE,2335
248,EP SLEMMESTAD,248 EP SLEMMESTAD,59.78577,10.4893,Akershus,true,ASKER,Østlandet,SLEMMESTAD,3470
249,EP ELVERUM,249 EP ELVERUM,60.87635,11.5482,Innlandet,true,ELVERUM,Østlandet,ELVERUM,2413
250,EP SARPSBORG,250 EP SARPSBORG,59.28679,11.08066,Østfold,true,SARPSBORG,Østlandet,SARPSBORG,1711
252,EP KLØFTA,252 EP KLØFTA,60.07258,11.13591,Akershus,true,ULLENSAKER,Østlandet,KLØFTA,2040
253,EP SØRUMSAND,253 EP SØRUMSAND,59.98665,11.24252,Akershus,true,LILLESTRØM,Østlandet,SØRUMSAND,1920
594,EP FALKUM,594 EP FALKUM,59.21306,9.58649,Telemark,true,SKIEN,Østlandet,SKIEN,3723
254,EP LAMBERTSETER,254 EP LAMBERTSETER,59.87489,10.80969,Oslo,true,OSLO,Østlandet,OSLO,1153
