storeNo,name,storeNoName,latitude,longitude,county,physicalStore,municipality,countryRegion,postalCity,postalCode
608,EP FLEKKEFJORD,608 EP FLEKKEFJORD,58.29298,6.66359,Agder,true,FLEKKEFJORD,Sørlandet,FLEKKEFJORD,4400
474,EP LUND,474 EP LUND,58.15311,8.02572,Agder,true,KRISTIANSAND,Sørlandet,KRISTIANSAND S,4632
297,EP SVINESUNDPARKEN,297 EP SVINESUNDPARKEN,59.1288,11.27364,Østfold,true,HALDEN,Østlandet,BERG I ØSTFOLD,1789
011,011 Testbutikk Web,011 011 Testbutikk Web,"","",Østfold,true,FREDRIKSTAD,Østlandet,ROLVSØY,1661
632,EP HOLMESTRAND,632 EP HOLMESTRAND,59.47355,10.31723,Vestfold,true,HOLMESTRAND,Østlandet,HOLMESTRAND,3080
427,EP SANDE I VESTFOLD,427 EP SANDE I VESTFOLD,59.58413,10.21006,Vestfold,true,HOLMESTRAND,Østlandet,SANDE I VESTFOLD,3070
304,EP FARSUND,304 EP FARSUND,58.09809,6.77089,Agder,true,FARSUND,Sørlandet,FARSUND,4550
305,EP LAKSELV,305 EP LAKSELV,70.05203,24.97146,Finnmark,true,PORSANGER PORSÁNGU PORSANKI,Nord-Norge,LAKSELV,9700
307,EP TILLER PLUSS,307 EP TILLER PLUSS,63.35679,10.3735,Trøndelag,true,TRONDHEIM,Trøndelag,TILLER,7075
306,EP MÅLØY,306 EP MÅLØY,61.92162,5.15445,Vestland,true,KINN,Vestlandet,DEKNEPOLLEN,6718
299,EP BJØRKELANGEN,299 EP BJØRKELANGEN,59.89093,11.5601,Akershus,true,AURSKOG-HØLAND,Østlandet,BJØRKELANGEN,1940
394,EP GJØVIK,394 EP GJØVIK,60.78047,10.69246,Innlandet,true,GJØVIK,Østlandet,GJØVIK,2818
311,EP BROKELANDSHEIA,311 EP BROKELANDSHEIA,58.82414,9.07415,Agder,true,GJERSTAD,Sørlandet,SUNDEBRU,4993
316,EP KIRKENES,316 EP KIRKENES,69.72569,30.06846,Finnmark,true,SØR-VARANGER,Nord-Norge,KIRKENES,9900
308,EP KRISTIANSUND,308 EP KRISTIANSUND,63.10967,7.80007,Møre og Romsdal,true,KRISTIANSUND,Vestlandet,KRISTIANSUND N,6517
309,EP STEINKJER,309 EP STEINKJER,64.01125,11.49161,Trøndelag,true,STEINKJER,Trøndelag,STEINKJER,7714
310,EP VERDAL,310 EP VERDAL,63.79444,11.48063,Trøndelag,true,VERDAL,Trøndelag,VERDAL,7650
315,EP NORHEIMSUND,315 EP NORHEIMSUND,60.37217,6.13744,Vestland,true,KVAM,Vestlandet,NORHEIMSUND,5600
387,EP SKEDSMO,387 EP SKEDSMO,60.00512,11.03322,Akershus,true,LILLESTRØM,Østlandet,SKEDSMOKORSET,2020
317,EP BILLINGSTAD,317 EP BILLINGSTAD,59.87702,10.50069,Akershus,true,ASKER,Østlandet,BILLINGSTAD,1396
588,EP NARVIK,588 EP NARVIK,68.43628,17.41494,Nordland,true,NARVIK,Nord-Norge,NARVIK,8516
047,EP HUSNES,047 EP HUSNES,59.85881,5.75396,Vestland,true,KVINNHERAD,Vestlandet,HUSNES,5460
069,EP ÅLESUND - utgått,069 EP ÅLESUND - utgått,"","",Møre og Romsdal,true,ÅLESUND,Vestlandet,ÅLESUND,6003
071,EP TROMDSDALEN - utgått,071 EP TROMDSDALEN - utgått,"","",Troms,true,TROMSØ,Nord-Norge,TROMSØ,9015
085,EP Brua - utgått,085 EP Brua - utgått,"","",Innlandet,true,NORD-AURDAL,Østlandet,FAGERNES,2900
